Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week Ending Date,Sex,Age Group,Total Deaths
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,65-69 years,3186
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,70-74 years,3409
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,75-79 years,3769
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,80-84 years,3974
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,85 years and over,7862
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,All Ages,31519
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,Unknown,0
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,0 years,462
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,1-4 years,66
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,10-14 years,63
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,15-19 years,199
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,20-24 years,389
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,25-29 years,502
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,30-34 years,627
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,35-39 years,763
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,40-44 years,845
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,45-49 years,1263
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,5-9 years,40
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,50-54 years,2074
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,55-59 years,3327
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,60-64 years,4382
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,65-69 years,5263
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,70-74 years,6282
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,75-79 years,6925
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,80-84 years,7577
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,85 years and over,19928
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,All Ages,60979
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,All Sexes,Unknown,2
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,0 years,217
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,1-4 years,31
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,10-14 years,31
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,15-19 years,61
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,20-24 years,95
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,25-29 years,140
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,30-34 years,224
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,35-39 years,286
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,40-44 years,306
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,45-49 years,507
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,5-9 years,19
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,50-54 years,855
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,55-59 years,1331
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,60-64 years,1752
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,65-69 years,2091
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,70-74 years,2782
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,75-79 years,3230
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,80-84 years,3830
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,85 years and over,12349
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,All Ages,30137
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,F,Unknown,0
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,M,0 years,245
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,M,1-4 years,35
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,M,10-14 years,32
03/21/2021,01/28/2018,02/03/2018,2018,5,02/03/2018,M,15-19 years,138
